,TeamBatting,TeamBowling,Venue,Prediction,Actual,Error
252,Sunrisers Hyderabad,Kolkata Knight Riders,Eden Gardens,45.20096409142745,54,16.294510941801015
253,Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,49.38204153728456,47,5.0681734835841645
254,Sunrisers Hyderabad,Chennai Super Kings,Wankhede Stadium,42.34318474928948,42,0.8171065459273273
255,Chennai Super Kings,Sunrisers Hyderabad,Wankhede Stadium,46.01879189709949,35,31.4822625631414
256,Kolkata Knight Riders,Rajasthan Royals,Eden Gardens,45.1565046343051,46,1.8336855775976066
257,Rajasthan Royals,Kolkata Knight Riders,Eden Gardens,45.90599224252235,51,9.988250504858133
258,Kings XI Punjab,Chennai Super Kings,Maharashtra Cricket ,37.85918355838924,29,30.548908822031862
259,Chennai Super Kings,Kings XI Punjab,Maharashtra Cricket ,41.550899998563594,33,25.911818177465435
260,Sunrisers Hyderabad,Kolkata Knight Riders,Rajiv Gandhi Interna,46.461402325462004,60,22.56432945756333
261,Kolkata Knight Riders,Sunrisers Hyderabad,Rajiv Gandhi Interna,43.26373453898098,66,34.448887062150035
262,Delhi Daredevils,Chennai Super Kings,Arun Jaitley Stadium,46.98959230524131,39,20.486134116003356
263,Chennai Super Kings,Delhi Daredevils,Arun Jaitley Stadium,45.06487832427484,44,2.4201780097155376
264,Mumbai Indians,Kings XI Punjab,Wankhede Stadium,44.02688560825774,60,26.62185731957043
265,Kings XI Punjab,Mumbai Indians,Wankhede Stadium,43.71752852613848,57,23.302581533090386
266,Kings XI Punjab,Royal Challengers Bangalore,Holkar Cricket Stadi,45.30066339874566,47,3.6156097899028463
267,Royal Challengers Bangalore,Kings XI Punjab,Holkar Cricket Stadi,41.01403394096644,66,37.85752433186902
268,Sunrisers Hyderabad,Chennai Super Kings,Maharashtra Cricket ,43.09280888264512,29,48.59589269877629
269,Chennai Super Kings,Sunrisers Hyderabad,Maharashtra Cricket ,43.50610863438799,53,17.91300257662643
270,Kolkata Knight Riders,Kings XI Punjab,Holkar Cricket Stadi,45.91057138867231,59,22.185472222589304
271,Kings XI Punjab,Kolkata Knight Riders,Holkar Cricket Stadi,46.66519990811522,58,19.54275877911169
272,Delhi Daredevils,Sunrisers Hyderabad,Arun Jaitley Stadium,44.5209355954913,38,17.16035683024027
273,Sunrisers Hyderabad,Delhi Daredevils,Arun Jaitley Stadium,40.454039789035164,51,20.678353354833014
274,Rajasthan Royals,Kings XI Punjab,Sawai Mansingh Stadi,49.76737691154446,63,21.004163632469112
275,Kings XI Punjab,Rajasthan Royals,Sawai Mansingh Stadi,46.15840419051526,33,39.873952092470496
276,Rajasthan Royals,Kings XI Punjab,Holkar Cricket Stadi,52.69923937103612,45,17.109420824524715
277,Kings XI Punjab,Rajasthan Royals,Holkar Cricket Stadi,49.2162673403927,34,44.753727471743225
278,Delhi Daredevils,Sunrisers Hyderabad,Rajiv Gandhi Interna,41.28976223372996,60,31.18372961045007
279,Sunrisers Hyderabad,Delhi Daredevils,Rajiv Gandhi Interna,39.83516818729703,61,34.69644559459503
280,Kings XI Punjab,Mumbai Indians,Holkar Cricket Stadi,36.75973023967293,49,24.98014236801442
281,Mumbai Indians,Kings XI Punjab,Holkar Cricket Stadi,46.352953092653024,39,18.853725878597498
282,Delhi Daredevils,Rajasthan Royals,Arun Jaitley Stadium,56.59454406461688,62,8.71847731513406
283,Rajasthan Royals,Delhi Daredevils,Arun Jaitley Stadium,42.357854672522976,79,46.38246243984433
284,Chennai Super Kings,Delhi Daredevils,Maharashtra Cricket ,35.46305886993421,56,36.67310916083177
285,Delhi Daredevils,Chennai Super Kings,Maharashtra Cricket ,41.039332074302166,59,30.441810043555652
286,Royal Challengers Bangalore,Kolkata Knight Riders,M.Chinnaswamy Stadiu,48.74227012900141,40,21.85567532250353
287,Kolkata Knight Riders,Royal Challengers Bangalore,M.Chinnaswamy Stadiu,44.09289375837048,51,13.54334557182259
288,Delhi Daredevils,Kolkata Knight Riders,Arun Jaitley Stadium,48.93176713846383,57,14.1547944939231
289,Kolkata Knight Riders,Delhi Daredevils,Arun Jaitley Stadium,45.05264439884701,51,11.66148157088822
290,Royal Challengers Bangalore,Chennai Super Kings,M.Chinnaswamy Stadiu,44.794900252792004,52,13.855961052323067
291,Chennai Super Kings,Royal Challengers Bangalore,M.Chinnaswamy Stadiu,43.68920419907524,55,20.565083274408654
292,Kings XI Punjab,Delhi Daredevils,Arun Jaitley Stadium,48.38076797757475,51,5.135749063578924
293,Delhi Daredevils,Kings XI Punjab,Arun Jaitley Stadium,50.65528055080712,48,5.5318344808481665
294,Chennai Super Kings,Sunrisers Hyderabad,Rajiv Gandhi Interna,45.326741368864596,27,67.8768198846837
295,Sunrisers Hyderabad,Chennai Super Kings,Rajiv Gandhi Interna,48.22288810385051,40,20.55722025962627
296,Kolkata Knight Riders,Kings XI Punjab,Eden Gardens,45.492621917838065,50,9.01475616432387
297,Kings XI Punjab,Kolkata Knight Riders,Eden Gardens,45.09865566819565,73,38.2210196326087
298,Kings XI Punjab,Sunrisers Hyderabad,Punjab Cricket Assoc,46.51804603477045,49,5.065212173937858
299,Sunrisers Hyderabad,Kings XI Punjab,Punjab Cricket Assoc,44.40691299789704,40,11.017282494742595
300,Mumbai Indians,Royal Challengers Bangalore,Wankhede Stadium,40.105306832185434,60,33.15782194635761
301,Royal Challengers Bangalore,Mumbai Indians,Wankhede Stadium,45.2409762484128,55,17.743679548340367
302,Kings XI Punjab,Chennai Super Kings,Punjab Cricket Assoc,41.13703652267017,75,45.1506179697731
303,Chennai Super Kings,Kings XI Punjab,Punjab Cricket Assoc,45.145347834928195,53,14.820098424663783
304,Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,51.736956540196076,49,5.585625592236889
305,Sunrisers Hyderabad,Kolkata Knight Riders,Eden Gardens,42.545020193418196,46,7.510825666482182
306,Kings XI Punjab,Royal Challengers Bangalore,M.Chinnaswamy Stadiu,44.62476219872519,50,10.750475602549614
307,Royal Challengers Bangalore,Kings XI Punjab,M.Chinnaswamy Stadiu,43.983326886361034,41,7.276407039904961
308,Rajasthan Royals,Delhi Daredevils,Sawai Mansingh Stadi,45.48130848115341,51,10.82096376244429
309,Delhi Daredevils,Rajasthan Royals,Sawai Mansingh Stadi,46.591248558308244,60,22.34791906948626
310,Rajasthan Royals,Sunrisers Hyderabad,Rajiv Gandhi Interna,43.5936217423081,48,9.179954703524789
311,Sunrisers Hyderabad,Rajasthan Royals,Rajiv Gandhi Interna,54.540060795865074,57,4.315682814271801
