,TeamBatting,TeamBowling,Venue,Prediction,Actual,Error
399,Rising Pune Supergiants,Royal Challengers Bangalore,M Chinnaswamy Stadiu,48.04549236610082,46,4.446722535001775
400,Delhi Daredevils,Rising Pune Supergiants,Feroz Shah Kotla,46.30203659431588,48,3.537423761841918
401,Rising Pune Supergiants,Delhi Daredevils,Feroz Shah Kotla,44.00956743536812,50,11.980865129263762
402,Gujarat Lions,Delhi Daredevils,Saurashtra Cricket A,40.74320071991159,35,16.40914491403312
403,Delhi Daredevils,Gujarat Lions,Saurashtra Cricket A,44.142885599674536,61,27.63461377102535
404,Gujarat Lions,Kings XI Punjab,Saurashtra Cricket A,45.59457887858324,59,22.721052748164
405,Kings XI Punjab,Gujarat Lions,Saurashtra Cricket A,52.876968414829896,36,46.88046781897193
406,Delhi Daredevils,Kolkata Knight Riders,Feroz Shah Kotla,50.00069435380115,37,35.13701176703014
407,Kolkata Knight Riders,Delhi Daredevils,Feroz Shah Kotla,42.05481375461962,43,2.1981075473962255
408,Rising Pune Supergiants,Gujarat Lions,Maharashtra Cricket ,48.79040748819839,48,1.6466822670799797
409,Gujarat Lions,Rising Pune Supergiants,Maharashtra Cricket ,46.04146734504651,72,36.05351757632429
410,Delhi Daredevils,Gujarat Lions,Feroz Shah Kotla,43.711189473690304,71,38.43494440325309
411,Gujarat Lions,Delhi Daredevils,Feroz Shah Kotla,43.66148381810963,22,98.4612900823165
412,Kings XI Punjab,Mumbai Indians,Punjab Cricket Assoc,54.778896712694724,39,40.458709519730064
413,Mumbai Indians,Kings XI Punjab,Punjab Cricket Assoc,39.99871089107882,40,0.003222772302944321
414,Gujarat Lions,Royal Challengers Bangalore,Saurashtra Cricket A,38.131470400279554,50,23.737059199440893
415,Royal Challengers Bangalore,Gujarat Lions,Saurashtra Cricket A,45.04224904567416,72,37.441320769897
416,Delhi Daredevils,Mumbai Indians,Feroz Shah Kotla,49.62692995621381,41,21.041292576131237
417,Mumbai Indians,Delhi Daredevils,Feroz Shah Kotla,43.32129114500097,52,16.68982472115198
418,Gujarat Lions,Sunrisers Hyderabad,Saurashtra Cricket A,56.9121439481361,50,13.824287896272198
419,Sunrisers Hyderabad,Gujarat Lions,Saurashtra Cricket A,50.31070472178778,63,20.141738536844795
420,Kings XI Punjab,Kolkata Knight Riders,Punjab Cricket Assoc,41.01596170617128,41,0.03893099066166398
421,Kolkata Knight Riders,Kings XI Punjab,Punjab Cricket Assoc,40.702024456327685,65,37.381500836418944
422,Royal Challengers Bangalore,Delhi Daredevils,M Chinnaswamy Stadiu,44.17855754586377,63,29.875305482755927
423,Delhi Daredevils,Royal Challengers Bangalore,M Chinnaswamy Stadiu,49.448810474513415,51,3.0415480891893822
424,Mumbai Indians,Gujarat Lions,Wankhede Stadium,41.346955936729145,31,33.377277215255305
425,Gujarat Lions,Mumbai Indians,Wankhede Stadium,40.85710990240122,42,2.7211668990447144
426,Delhi Daredevils,Kings XI Punjab,Feroz Shah Kotla,42.26736499631429,37,14.236121611660248
427,Kings XI Punjab,Delhi Daredevils,Feroz Shah Kotla,41.31433230402947,28,47.55118680010525
428,Kolkata Knight Riders,Mumbai Indians,Eden Gardens,44.197067208587875,40,10.492668021469687
429,Mumbai Indians,Kolkata Knight Riders,Eden Gardens,47.30238259821988,53,10.750221512792683
430,Kings XI Punjab,Gujarat Lions,Punjab Cricket Assoc,44.126051307136834,52,15.142209024736857
431,Gujarat Lions,Kings XI Punjab,Punjab Cricket Assoc,43.75179228603972,57,23.242469673614522
432,Mumbai Indians,Rising Pune Supergiants,Wankhede Stadium,41.60014221219786,37,12.432816789723944
433,Rising Pune Supergiants,Mumbai Indians,Wankhede Stadium,45.32754254047561,57,20.477995543025244
434,Chennai Super Kings,Royal Challengers Bangalore,JSCA International S,51.50595567614433,29,77.60674371084252
435,Royal Challengers Bangalore,Chennai Super Kings,JSCA International S,50.048031777748896,34,47.20009346396734
436,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,49.574267193302795,48,3.279723319380823
437,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,47.39870354535774,54,12.224623064152333
438,Sunrisers Hyderabad,Mumbai Indians,Rajiv Gandhi Interna,43.885968673537675,29,51.33092646047474
439,Mumbai Indians,Sunrisers Hyderabad,Rajiv Gandhi Interna,43.53500789730686,38,14.565810256070687
440,Kings XI Punjab,Chennai Super Kings,Punjab Cricket Assoc,52.15350112042226,41,27.203661269322595
441,Chennai Super Kings,Kings XI Punjab,Punjab Cricket Assoc,46.888658831493316,47,0.23689610320570983
442,Mumbai Indians,Kolkata Knight Riders,Wankhede Stadium,42.94247612463125,46,6.646791033410329
443,Kolkata Knight Riders,Mumbai Indians,Wankhede Stadium,45.903714532982434,50,8.192570934035132
444,Delhi Daredevils,Chennai Super Kings,Shaheed Veer Narayan,44.50994728126477,16,178.18717050790482
445,Chennai Super Kings,Delhi Daredevils,Shaheed Veer Narayan,51.73661152661403,28,84.7736125950501
446,Chennai Super Kings,Rajasthan Royals,MA Chidambaram Stadi,44.29176817998041,36,23.032689388834466
447,Rajasthan Royals,Chennai Super Kings,MA Chidambaram Stadi,47.52468342872318,40,18.811708571807948
448,Delhi Daredevils,Sunrisers Hyderabad,Shaheed Veer Narayan,42.636336761704136,41,3.9910652724491125
449,Sunrisers Hyderabad,Delhi Daredevils,Shaheed Veer Narayan,46.209340558054556,49,5.695223350909068
450,Chennai Super Kings,Mumbai Indians,MA Chidambaram Stadi,47.11452447374833,44,7.078464713064392
451,Mumbai Indians,Chennai Super Kings,MA Chidambaram Stadi,44.44950117082306,61,27.131965293732684
452,Kolkata Knight Riders,Delhi Daredevils,Eden Gardens,47.60882822296774,50,4.782343554064525
453,Delhi Daredevils,Kolkata Knight Riders,Eden Gardens,42.57910189696862,36,18.275283047135066
454,Mumbai Indians,Delhi Daredevils,Wankhede Stadium,44.10415120229177,44,0.2367072779358346
455,Delhi Daredevils,Mumbai Indians,Wankhede Stadium,49.56147353993194,41,20.8816427803218
456,Chennai Super Kings,Royal Challengers Bangalore,MA Chidambaram Stadi,48.785003408753184,37,31.851360564197794
457,Royal Challengers Bangalore,Chennai Super Kings,MA Chidambaram Stadi,42.81944382052347,42,1.9510567155320655
458,Rajasthan Royals,Delhi Daredevils,Brabourne Stadium,41.480254009194944,43,3.534293001872223
459,Delhi Daredevils,Rajasthan Royals,Brabourne Stadium,52.4882679347336,55,4.566785573211638
460,Sunrisers Hyderabad,Chennai Super Kings,Rajiv Gandhi Interna,43.01510349205117,76,43.40117961572215
461,Chennai Super Kings,Sunrisers Hyderabad,Rajiv Gandhi Interna,38.4165357357052,54,28.858267156101476
462,Delhi Daredevils,Kings XI Punjab,Feroz Shah Kotla,53.96021112188924,27,99.85263378477495
463,Kings XI Punjab,Delhi Daredevils,Feroz Shah Kotla,44.312963848565936,41,8.080399630648623
464,Royal Challengers Bangalore,Rajasthan Royals,M Chinnaswamy Stadiu,42.40240395772702,52,18.45691546590958
465,Rajasthan Royals,Royal Challengers Bangalore,M Chinnaswamy Stadiu,40.50876416834283,0,23.676913752984913
466,Kings XI Punjab,Sunrisers Hyderabad,Punjab Cricket Assoc,46.8674741622534,56,16.308081853118924
467,Sunrisers Hyderabad,Kings XI Punjab,Punjab Cricket Assoc,46.732850032231305,36,29.813472311753625
468,Chennai Super Kings,Kings XI Punjab,MA Chidambaram Stadi,45.484415655588315,54,15.769600637799416
469,Kings XI Punjab,Chennai Super Kings,MA Chidambaram Stadi,46.89493615639188,39,20.243426042030457
470,Rajasthan Royals,Royal Challengers Bangalore,Sardar Patel Stadium,38.52747995174411,48,19.734416767199768
471,Royal Challengers Bangalore,Rajasthan Royals,Sardar Patel Stadium,37.46625100379757,49,23.538263257555986
472,Sunrisers Hyderabad,Kolkata Knight Riders,Dr. Y.S. Rajasekhara,43.37074019664347,43,0.8621865038220171
473,Kolkata Knight Riders,Sunrisers Hyderabad,Dr. Y.S. Rajasekhara,45.59985581286509,49,6.939069769663088
474,Rajasthan Royals,Kings XI Punjab,Sardar Patel Stadium,40.47385342393385,43,5.874759479223597
475,Kings XI Punjab,Rajasthan Royals,Sardar Patel Stadium,42.89283181912211,40,7.23207954780527
476,Rajasthan Royals,Chennai Super Kings,Sardar Patel Stadium,41.3990131121842,39,6.151315672267179
477,Chennai Super Kings,Rajasthan Royals,Sardar Patel Stadium,46.03108074743037,47,2.061530324616228
